Index,Holder,Week,Age,Customer Age,Active Sum,Average Long GIC Rate,Average Long GIC Rank,Average Short GIC Rate,Average Short GIC Rank,SAV,SAV Rank,Average CSH Rate,Average CSH Rank,Average Contract,Average Interest,Average Term,Balance,Average Balance,Balance Volatility,Time to Balance,Average Number of Transactions,Average Transaction Average,Average Time to Transaction,GIC Purchase,GIC Renewal
0,7783,0,43465,43465,7,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,15753.33,2.19,60.86,0,0,0,0,1.71,15753.33,60.86,FALSE,FALSE
1,26629,0,43465,43465,9,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,20291.69,2.31,128.56,0,0,0,0,1.56,20291.69,128.56,FALSE,FALSE
2,26840,0,43465,43465,1,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,11500,3.3,547,0,0,0,0,1,11500,547,FALSE,FALSE
3,26982,0,43465,43465,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,21802.86,2.98,1827,0,0,0,0,1.25,21802.86,1827,FALSE,FALSE
4,27339,0,43465,43465,10,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,37000,2.73,365.67,0,0,0,0,1,0,0,FALSE,FALSE
5,27341,0,43465,43465,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,47500,2.73,365.5,0,0,0,0,1,0,0,FALSE,FALSE
6,27969,0,43465,43465,6,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,4821.94,2.78,365.67,0,0,0,0,1,4821.94,365.67,FALSE,FALSE
7,27970,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,4792.56,2.67,365,0,0,0,0,1,4792.56,365,FALSE,FALSE
8,28451,0,43465,43465,7,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,1323.41,2.19,60.57,0,0,0,0,1.71,1323.41,60.57,FALSE,FALSE
9,29061,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,95000,2.7,366.5,0,0,0,0,1,0,0,FALSE,FALSE
10,29130,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,3272.58,2.7,1095.5,0,0,0,0,1,3272.58,1095.5,FALSE,FALSE
11,29538,0,43465,43465,13,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,28363,2.92,1400.78,0,0,0,0,1.11,19946.33,791.89,FALSE,FALSE
12,29743,0,26782,2742,8,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,9621.09,3.4,1826,42000,34042.68,106.66,15,1,9621.09,1826,FALSE,FALSE
13,29767,0,43465,43465,7,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,9855.18,2.7,639.5,0,0,0,0,1,0,0,FALSE,FALSE
14,30025,0,31001,2742,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,30000,2.3,1463,0,0,0,0,1,0,0,FALSE,FALSE
15,30157,0,43465,43465,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,34376.65,2.97,1826.67,0,0,0,0,1,7709.99,609,FALSE,FALSE
16,30275,0,18347,2742,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,10198.9,3.17,1826.33,12503.44,3797.51,31.64,78.75,1,10198.9,1826.33,FALSE,FALSE
17,30493,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,92500,3.1,1826.5,0,0,0,0,1.5,0,0,FALSE,FALSE
18,30515,0,-2010,2742,17,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,47144.75,2.85,1246.18,6000,5660.38,21.64,-0.3,1.18,704.76,166.09,FALSE,FALSE
19,30619,0,21763,2742,16,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,30054.71,3.18,1826.71,0.14,4069.51,71.18,13.36,1,1146.79,391.43,FALSE,FALSE
20,30620,0,22781,2742,7,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,42793.4,3.4,1826.2,12967.25,14544.09,120.4,25.85,1,1200,365.2,FALSE,FALSE
21,30625,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,4868.32,2.7,366,4.41,-26.77,6.82,25.69,1,4868.32,366,FALSE,FALSE
22,30746,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,43675.4,2.98,426.67,0,0,0,0,1,2000,121.67,FALSE,FALSE
23,31004,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,6265.13,3.1,733,0,0,0,0,1,6265.13,733,FALSE,FALSE
24,31043,0,43465,43465,6,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,85412.22,2.65,403,0,0,0,0,1.2,20000,73.4,FALSE,FALSE
25,31288,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,8870.5,3.33,1826,0,0,0,0,1,8870.5,1826,FALSE,FALSE
26,31295,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,90889.66,2.38,549,0,0,0,0,1,90889.66,549,FALSE,FALSE
27,31745,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,100000,3.05,551,0,0,0,0,1,0,0,FALSE,FALSE
