Week,GIC Purchase,GIC Renewal,Average Long GIC Rank,Average Short GIC Rank,Average CSH Rank,SAV Rank,Average Long GIC Rate,Average Short GIC Rate,Average CSH Rate,SAV
0,0,0,5.333333333,1.666666667,1,11,0.031666667,0.023333333,0.02,0.02
1,7,17,5.333333333,1.666666667,1,11,0.031666667,0.023333333,0.02,0.02
2,7,33,5.166666667,1.666666667,1,11,0.031666667,0.023333333,0.02,0.02
3,10,26,5.166666667,1.666666667,1,11,0.031666667,0.023333333,0.02,0.02
4,10,19,5,1.666666667,1,11,0.031666667,0.023333333,0.02,0.02
5,3,24,4.666666667,1.666666667,1,11,0.031666667,0.023333333,0.02,0.02
6,9,32,4.666666667,1.666666667,1,11,0.031666667,0.023333333,0.02,0.02
7,5,15,4.666666667,1.333333333,1,11,0.031666667,0.023333333,0.02,0.02
8,5,22,3,1.333333333,1,10,0.031666667,0.023333333,0.02,0.02
9,11,36,3,1.333333333,1,10,0.031666667,0.023333333,0.02,0.02
10,11,29,2.5,1.333333333,1,10,0.031666667,0.023333333,0.02,0.02
11,9,22,5.833333333,2.166666667,1,10,0.03,0.021666667,0.02,0.02
12,7,13,5.833333333,2,1,11,0.03,0.021666667,0.02,0.02
13,6,19,5.5,1.666666667,1,11,0.03,0.021666667,0.02,0.02
14,2,13,6.166666667,1.166666667,1,9,0.03,0.021666667,0.02,0.02
15,3,18,4.5,1.166666667,1,10,0.03,0.021666667,0.02,0.02
16,2,11,7.333333333,1.166666667,1,10,0.03,0.021666667,0.02,0.02
17,1,17,9.666666667,1.666666667,1,12,0.03,0.021666667,0.02,0.02
18,3,17,7.166666667,1.666666667,1,11,0.03,0.021666667,0.02,0.02
19,5,32,7.5,2.166666667,1,11,0.03,0.021666667,0.02,0.02
20,5,14,8,2.166666667,1,12,0.03,0.021666667,0.02,0.02
21,5,23,8,2.166666667,1,12,0.03,0.021666667,0.02,0.02
22,10,19,3.5,2.166666667,1,12,0.03,0.021666667,0.02,0.02
23,5,22,3.5,2.166666667,1,13,0.03,0.021666667,0.02,0.02
24,11,22,3.5,1.833333333,1,13,0.03,0.021666667,0.02,0.02
25,3,16,3.5,1.833333333,1,13,0.03,0.021666667,0.02,0.02
26,11,15,1.333333333,1.833333333,1,13,0.03,0.021666667,0.02,0.02
27,10,15,1.666666667,1.833333333,1,13,0.03,0.021666667,0.02,0.02
28,14,26,1.666666667,1.833333333,1,13,0.03,0.021666667,0.02,0.02
29,8,25,3.666666667,1.833333333,1,13,0.03,0.021666667,0.02,0.02
30,7,31,3.666666667,1.833333333,1,12,0.03,0.021666667,0.02,0.02
31,9,20,1.833333333,1.666666667,1,12,0.03,0.021666667,0.02,0.02
32,3,14,1.5,1.333333333,1,12,0.03,0.021666667,0.02,0.02
33,8,22,1.5,1.333333333,1,12,0.03,0.021666667,0.02,0.02
34,10,19,1.333333333,1.333333333,1,12,0.03,0.021666667,0.02,0.02
35,7,16,2.333333333,1.333333333,1,12,0.03,0.021666667,0.02,0.02
36,4,14,1.833333333,1.333333333,1,12,0.03,0.021666667,0.02,0.02
37,11,24,1.666666667,1.333333333,1,12,0.03,0.021666667,0.02,0.02
38,5,18,1.666666667,1.333333333,1,12,0.03,0.021666667,0.02,0.02
39,7,17,3,1.333333333,1,12,0.03,0.021666667,0.02,0.02
40,5,16,3,1.333333333,1,12,0.03,0.021666667,0.02,0.02
41,8,19,3,1.333333333,1,12,0.03,0.021666667,0.02,0.02
42,1,7,2,1.333333333,1,12,0.03,0.021666667,0.02,0.02
43,2,10,2,1.333333333,1,12,0.03,0.021666667,0.02,0.02
44,4,15,1.833333333,1.333333333,1,12,0.03,0.021666667,0.02,0.02
45,6,26,1.833333333,1.333333333,1,12,0.03,0.021666667,0.02,0.02
46,9,24,1.833333333,1.333333333,1,12,0.03,0.021666667,0.02,0.02
47,1,19,1.333333333,1.333333333,1,13,0.03,0.021666667,0.02,0.02
48,6,23,1,1.333333333,1,15,0.03,0.021666667,0.02,0.02
49,5,19,1,1.333333333,1,16,0.03,0.021666667,0.02,0.02
50,8,22,1,1.333333333,1,16,0.03,0.021666667,0.02,0.02
51,5,15,1,1.333333333,1,17,0.03,0.021666667,0.02,0.02
52,3,14,1,1.333333333,1,17,0.03,0.021666667,0.02,0.02
